/home/uosai/바탕화면/miniconda3/envs/simplenv/lib/python3.9/site-packages/gym/logger.py:34: UserWarning: [33mWARN: Box bound precision lowered by casting to float32
  warnings.warn(colorize("%s: %s" % ("WARN", msg % args), "yellow"))
Algo rmappo Exp ppo updates 0/60000 episodes, Accumulated Rewards 0.7999935150146484
Algo rmappo Exp ppo updates 5/60000 episodes, Accumulated Rewards 8.999995231628418
Algo rmappo Exp ppo updates 10/60000 episodes, Accumulated Rewards -11.000006675720215
Algo rmappo Exp ppo updates 15/60000 episodes, Accumulated Rewards 5.999992847442627
Algo rmappo Exp ppo updates 20/60000 episodes, Accumulated Rewards -21.0000057220459
Algo rmappo Exp ppo updates 25/60000 episodes, Accumulated Rewards -4.000008583068848
Algo rmappo Exp ppo updates 30/60000 episodes, Accumulated Rewards -19.00000762939453
Algo rmappo Exp ppo updates 35/60000 episodes, Accumulated Rewards -2.0000061988830566
Algo rmappo Exp ppo updates 40/60000 episodes, Accumulated Rewards 25.999996185302734
Algo rmappo Exp ppo updates 45/60000 episodes, Accumulated Rewards 17.99997329711914
Algo rmappo Exp ppo updates 50/60000 episodes, Accumulated Rewards -3.000009536743164
Algo rmappo Exp ppo updates 55/60000 episodes, Accumulated Rewards -3.0000081062316895
Algo rmappo Exp ppo updates 60/60000 episodes, Accumulated Rewards -8.58306884765625e-06
Algo rmappo Exp ppo updates 65/60000 episodes, Accumulated Rewards 17.9999942779541
Algo rmappo Exp ppo updates 70/60000 episodes, Accumulated Rewards -3.0000088214874268
Algo rmappo Exp ppo updates 75/60000 episodes, Accumulated Rewards -2.000011444091797
Algo rmappo Exp ppo updates 80/60000 episodes, Accumulated Rewards -19.9999942779541
Algo rmappo Exp ppo updates 85/60000 episodes, Accumulated Rewards -1.0000114440917969
Algo rmappo Exp ppo updates 90/60000 episodes, Accumulated Rewards -2.0000057220458984
Algo rmappo Exp ppo updates 95/60000 episodes, Accumulated Rewards 6.999993324279785
Algo rmappo Exp ppo updates 100/60000 episodes, Accumulated Rewards -2.000001907348633
Algo rmappo Exp ppo updates 105/60000 episodes, Accumulated Rewards -2.00000262260437
Algo rmappo Exp ppo updates 110/60000 episodes, Accumulated Rewards -12.000008583068848
Algo rmappo Exp ppo updates 115/60000 episodes, Accumulated Rewards 6.9999847412109375
Algo rmappo Exp ppo updates 120/60000 episodes, Accumulated Rewards -10.000014305114746
Algo rmappo Exp ppo updates 125/60000 episodes, Accumulated Rewards 7.999999046325684
Algo rmappo Exp ppo updates 130/60000 episodes, Accumulated Rewards -2.000006675720215
Algo rmappo Exp ppo updates 135/60000 episodes, Accumulated Rewards 6.999988555908203
Algo rmappo Exp ppo updates 140/60000 episodes, Accumulated Rewards -1.0000104904174805
Algo rmappo Exp ppo updates 145/60000 episodes, Accumulated Rewards -3.0000104904174805
Algo rmappo Exp ppo updates 150/60000 episodes, Accumulated Rewards -1.0000065565109253
Algo rmappo Exp ppo updates 155/60000 episodes, Accumulated Rewards -2.000009536743164
Algo rmappo Exp ppo updates 160/60000 episodes, Accumulated Rewards 5.999994277954102
Algo rmappo Exp ppo updates 165/60000 episodes, Accumulated Rewards -1.0000085830688477
Algo rmappo Exp ppo updates 170/60000 episodes, Accumulated Rewards -12.000004768371582
Algo rmappo Exp ppo updates 175/60000 episodes, Accumulated Rewards -9.5367431640625e-06
Algo rmappo Exp ppo updates 180/60000 episodes, Accumulated Rewards 8.999984741210938
Algo rmappo Exp ppo updates 185/60000 episodes, Accumulated Rewards 8.99998664855957
Algo rmappo Exp ppo updates 190/60000 episodes, Accumulated Rewards 0.9999984502792358
Algo rmappo Exp ppo updates 195/60000 episodes, Accumulated Rewards 8.999991416931152
Algo rmappo Exp ppo updates 200/60000 episodes, Accumulated Rewards -5.7220458984375e-06
Algo rmappo Exp ppo updates 205/60000 episodes, Accumulated Rewards -9.00000286102295
Algo rmappo Exp ppo updates 210/60000 episodes, Accumulated Rewards -11.000008583068848
Algo rmappo Exp ppo updates 215/60000 episodes, Accumulated Rewards -2.0000030994415283
Algo rmappo Exp ppo updates 220/60000 episodes, Accumulated Rewards -3.000009298324585
Algo rmappo Exp ppo updates 225/60000 episodes, Accumulated Rewards 7.9999847412109375
Algo rmappo Exp ppo updates 230/60000 episodes, Accumulated Rewards -1.0000041723251343
Algo rmappo Exp ppo updates 235/60000 episodes, Accumulated Rewards 15.999988555908203
Algo rmappo Exp ppo updates 240/60000 episodes, Accumulated Rewards -10.00001049041748
Algo rmappo Exp ppo updates 245/60000 episodes, Accumulated Rewards 6.999988555908203
Algo rmappo Exp ppo updates 250/60000 episodes, Accumulated Rewards -11.000007629394531
Algo rmappo Exp ppo updates 255/60000 episodes, Accumulated Rewards 6.999991416931152
Algo rmappo Exp ppo updates 260/60000 episodes, Accumulated Rewards 1.9999927282333374
